"...1","SL No","Industry code","KLEMS Industry Description","year","II_M_r","EMP","VA_r","K_r","LP","GO_r","LSH_go","EMP_g"
123,12,"29","Machinery, nec.",2018,283176.462507512,3123.28597237399,178666.969462245,431783.036358769,572.048064258557,558218.862227552,0.115518576097872,6.56727250803388
124,12,"29","Machinery, nec.",2019,290934.671697764,3086.09303203169,168152.694572936,473902.94770012,544.872409313711,546077.771490356,0.119669140417902,-1.19797439082505
125,12,"29","Machinery, nec.",2020,280370.312426555,2749.516613538,167479.011776855,507987.652663563,609.121657793324,535253.76614753,0.119336957112996,-11.5480780632123
126,12,"29","Machinery, nec.",2021,324407.57816585,2668.85974223504,188033.463902033,548793.335256177,704.546068593938,642431.421861743,0.111152537283856,-2.97738009711023
161,13,"30t33","Electrical and Optical Equipment",2014,184363.565397247,2935.76325694777,84207.5939615364,250534.181557866,286.83373484647,354160.849039221,0.109981714659316,4.68799957175062
162,13,"30t33","Electrical and Optical Equipment",2015,199375.726344869,3077.39789837977,97839.5639300245,256528.866164891,317.92952085116,393591.643163267,0.109969336096645,4.71169287736322
163,13,"30t33","Electrical and Optical Equipment",2016,240308.8514048,3226.64778105246,102905.27832854,267301.604577401,318.923183784796,465439.941598698,0.0993424274683461,4.73593579034541
164,13,"30t33","Electrical and Optical Equipment",2017,271768.275780645,3383.97570319076,130168.368366986,281618.063399428,384.661060787908,524907.001225624,0.0953058850446331,4.76075021863943
165,13,"30t33","Electrical and Optical Equipment",2018,311725.494224453,3542.10501135863,135486.867314017,299871.930461568,382.503813070321,593068.364576295,0.0932781883258913,4.56699245867469
166,13,"30t33","Electrical and Optical Equipment",2019,318692.892422881,3905.10758401011,132029.995978683,319098.14977026,338.095668655312,592162.455049262,0.0980442129487437,9.75641468380583
167,13,"30t33","Electrical and Optical Equipment",2020,314472.184677234,3627.72144411206,134025.194228535,332460.058278207,369.447313674161,598301.17208672,0.0955145279033312,-7.36805833915877
168,13,"30t33","Electrical and Optical Equipment",2021,367560.847067204,3783.9076409044,148538.37017176,348267.967874341,392.552842902522,718549.745644782,0.0879284851662848,4.21524932536866
203,14,"34t35","Transport Equipment",2014,327877.55259155,1693.02400831092,163423.984276402,404707.357804597,965.278598969455,667002.060012534,0.0672264018489273,2.11550839947478
204,14,"34t35","Transport Equipment",2015,368242.145236723,1731.51646500799,212884.216111231,431861.944935696,1229.46688878438,758752.101263292,0.0652623183736852,2.24813099375631
205,14,"34t35","Transport Equipment",2016,400744.749074163,1773.46399233237,228291.010020276,475714.240558697,1287.26047445733,818873.339238577,0.0682473961548685,2.39370979419867
206,14,"34t35","Transport Equipment",2017,441226.660038669,1819.37616857238,237432.312398076,519836.613117101,1305.02045975672,902848.91763567,0.065813774966674,2.55589859529583
207,14,"34t35","Transport Equipment",2018,490952.837454132,1835.0166722777,275584.882528997,565442.861310348,1501.81132788798,1027823.44550275,0.0658608394685165,0.855988936432924
208,14,"34t35","Transport Equipment",2019,469335.501633356,2098.46005540772,245909.16660247,625340.288570022,1171.85536111952,946239.368557794,0.0761495022770263,13.4150201604437
209,14,"34t35","Transport Equipment",2020,478293.046956431,2273.33616896438,214941.795977984,667495.265848692,945.490591811158,918608.590521898,0.0743084793101615,8.00446617519007
210,14,"34t35","Transport Equipment",2021,587788.996156215,2150.98060011146,244472.181575183,714386.148701531,1136.56153645698,1150098.28248326,0.0655764810157247,-5.53245992956801
245,17,"F","Construction",2014,908349.314913409,51774.9793923825,835229,1393512.64913285,161.319040548548,2338816,0.281745990819221,1.42314018900108
246,17,"F","Construction",2015,887884.605979305,52575.944951165,865335,1480202.46483195,164.58762668056,2376858,0.284328199190206,1.53516855617585
247,17,"F","Construction",2016,955409.004321944,53444.4848958422,916444.6742,1638282.04990197,171.476004677762,2500211.0139,0.286597931989072,1.63847548353392
248,17,"F","Construction",2017,1014794.04435342,54379.0736045072,964305.667717247,1856810.05861134,177.330286045425,2647704.91721915,0.280712031891271,1.7335953811103
249,17,"F","Construction",2018,1086863.95087846,57554.2206030134,1026789.19010833,2136202.45847853,178.403804160727,2843286.65163657,0.275190329858908,5.67480670309184
250,17,"F","Construction",2019,1153778.34342065,61140.1488358534,1043429.40997762,2407430.12326792,170.661902178057,2905041.12006289,0.276268404938866,6.044128030659
251,17,"F","Construction",2020,1084708.45589894,64957.4945380674,983618.529891629,2741734.3620062,151.424949020347,2731597.21514225,0.276765838750673,6.05643750017299
252,17,"F","Construction",2021,1255427.58051217,67899.989135336,1129367.63956953,3061584.09171772,166.328103133935,3152054.86196662,0.278944328193617,4.43027487484016
287,18,"G","Trade",2014,64775.8812162004,49469.7641498045,1037640,1310510.97671204,209.752364466064,1413333,0.350508130509404,1.40297058789409
288,18,"G","Trade",2015,64733.2989967194,50171.4560271547,1150121,1546073.48011311,229.238114871036,1542691,0.354300669019083,1.40846022553555
289,18,"G","Trade",2016,70951.3089154199,50885.8511187067,1268230.2412,1830235.44847599,249.230427185244,1697642.741,0.357448921662191,1.41386508785375
290,18,"G","Trade",2017,78709.984383035,51613.1652104981,1435983.80911045,2164088.29941255,278.220450781107,1905116.18249475,0.355654616107321,1.41918688609311
291,18,"G","Trade",2018,87732.014451432,54983.8993355699,1563236.99320311,2468596.04111365,284.308136034984,2078973.60506805,0.353490882333516,6.32636233394243
292,18,"G","Trade",2019,95229.917144198,63881.0570512744,1675606.79038916,2710877.16703327,262.301043178454,2229484.93895784,0.349909486229355,14.9982467639872
293,18,"G","Trade",2020,85885.850840908,64353.0048426151,1369374.56857358,2866590.28459419,212.791084413633,1878807.99375728,0.328536331479412,0.73607575903382
294,18,"G","Trade",2021,91584.2658353635,63305.907019404,1469373.91391087,3151089.37374633,232.106920679691,2001052.73198554,0.332872027236514,-1.64049856145007
329,19,"H","Hotels and Restaurants",2014,135680.83712818,8607.08245968839,98201,220493.558313458,114.093248740126,292305,0.198265277614304,2.30476434508634
330,19,"H","Hotels and Restaurants",2015,145609.420951439,8811.34039351999,111305,262327.595850239,126.320168134528,328499,0.196101443027063,2.34541667700023
